Mean: 3.1414889999999898, SE: 0.0003697732384854279, STDEV: 0.03697732384854279, n: 10000, points: 2000, t: 3 s
Mean: 3.1415400000000004, SE: 0.0011646168468642396, STDEV: 0.03682841837494523, n: 1000, points: 2000, t: 0 s
Mean: 3.141392800000006, SE: 0.0005286518907863633, STDEV: 0.03738133368621276, n: 5000, points: 2000, t: 1 s
Mean: 3.141247799999978, SE: 0.0003673300688971697, STDEV: 0.036733006889716965, n: 10000, points: 2000, t: 3 s
Mean: 3.1410463999999916, SE: 0.0005152521176123382, STDEV: 0.05152521176123381, n: 10000, points: 1000, t: 2 s
Mean: 3.141289999999988, SE: 0.0005246379227619694, STDEV: 0.05246379227619694, n: 10000, points: 1000, t: 9 s
Mean: 3.1415411999999976, SE: 0.0005196433298484613, STDEV: 0.05196433298484613, n: 10000, points: 1000, t: 4 s
Mean: 3.141536359999865, SE: 0.00016445270438486572, STDEV: 0.05200451132305354, n: 100000, points: 1000, t: 23 s
Mean: 3.1414865279982784, SE: 0.00005191960148645661, STDEV: 0.051919601486456614, n: 1000000, points: 1000, t: 188 s
Mean: 3.1415958447998933, SE: 0.000016465309923081433, STDEV: 0.005206788173750916, n: 100000, points: 100000, t: 1822 s
Mean: 3.1415917346399023, SE: 0.0000051909190104867634, STDEV: 0.005190919010486764, n: 1000000, points: 100000, t: 16612 s
Mean: 3.141683999999997, SE: 0.001614661619039728, STDEV: 0.05106008366620638, n: 1000, points: 1000, t: 2 s
Mean: 3.1412548000000005, SE: 0.0005325064221208978, STDEV: 0.005325064221208977, n: 100, points: 100000, t: 5 s
Mean: 3.140910400000001, SE: 0.0004649414999760685, STDEV: 0.004649414999760685, n: 100, points: 100000, t: 4 s
Mean: 3.141664559999864, SE: 0.0001645180342700137, STDEV: 0.05202517044668802, n: 100000, points: 1000, t: 20 s
Mean: 3.1416745599998253, SE: 0.00016427148288145367, STDEV: 0.051947204051875334, n: 100000, points: 1000, t: 19 s
Mean: 3.141545639999831, SE: 0.0001645753893202123, STDEV: 0.052043307706082106, n: 100000, points: 1000, t: 18 s
