Mean: 12.56616479999999, SE: 0.0020785733193938454, STDEV: 0.20785733193938452, n: 10000, r: 2, points: 1000, t: 4 s
Mean: 12.56614543999946, SE: 0.0006578108175394629, STDEV: 0.20801804529221415, n: 100000, r: 2, points: 1000, t: 23 s
Mean: 12.565946111993114, SE: 0.00020767840594582645, STDEV: 0.20767840594582646, n: 1000000, r: 2, points: 1000, t: 188 s
Mean: 28.2743626031992, SE: 0.0001481877893077318, STDEV: 0.04686109356375789, n: 100000, r: 3, points: 100000, t: 1822 s
Mean: 28.274325611757938, SE: 0.00004671827109438231, STDEV: 0.04671827109438231, n: 1000000, r: 3, points: 100000, t: 16612 s
Mean: 28.275155999999875, SE: 0.014531954571357563, STDEV: 0.4595407529958578, n: 1000, r: 3, points: 1000, t: 2 s
Mean: 28.271293200000006, SE: 0.004792557799088122, STDEV: 0.04792557799088122, n: 100, r: 3, points: 100000, t: 5 s
Mean: 28.268193600000004, SE: 0.004184473499784605, STDEV: 0.04184473499784605, n: 100, r: 3, points: 100000, t: 4 s
Mean: 28.274981039995964, SE: 0.0014806623084298708, STDEV: 0.46822653402011233, n: 100000, r: 3, points: 1000, t: 20 s
Mean: 28.275071039995716, SE: 0.0014784433459328768, STDEV: 0.4675248364668128, n: 100000, r: 3, points: 1000, t: 19 s
Mean: 28.273910759995946, SE: 0.0014811785038823316, STDEV: 0.4683897693548721, n: 100000, r: 3, points: 1000, t: 18 s
