Mean: 50.26465919999996, SE: 0.008314293277575381, STDEV: 0.8314293277575381, n: 10000, r: 2, points: 1000, t: 4 s
Mean: 50.26458175999784, SE: 0.0026312432701578515, STDEV: 0.8320721811688566, n: 100000, r: 2, points: 1000, t: 23 s
Mean: 50.263784447972455, SE: 0.0008307136237833058, STDEV: 0.8307136237833058, n: 1000000, r: 2, points: 1000, t: 188 s
Mean: 169.64617561919874, SE: 0.0008891267358463934, STDEV: 0.2811665613825482, n: 100000, r: 3, points: 100000, t: 1822 s
Mean: 169.64595367057302, SE: 0.00028030962656619044, STDEV: 0.28030962656619046, n: 1000000, r: 3, points: 100000, t: 16613 s
Mean: 169.65093600000003, SE: 0.08719172742814542, STDEV: 2.7572445179751477, n: 1000, r: 3, points: 1000, t: 2 s
Mean: 169.62775919999993, SE: 0.028755346794528687, STDEV: 0.28755346794528686, n: 100, r: 3, points: 100000, t: 5 s
Mean: 169.60916159999985, SE: 0.025106840998707615, STDEV: 0.25106840998707614, n: 100, r: 3, points: 100000, t: 4 s
Mean: 169.6498862402288, SE: 0.008883973850579511, STDEV: 2.809359204120765, n: 100000, r: 3, points: 1000, t: 20 s
Mean: 169.65042624022803, SE: 0.008870660075597465, STDEV: 2.8051490188009414, n: 100000, r: 3, points: 1000, t: 19 s
Mean: 169.64346456022852, SE: 0.008887071023292309, STDEV: 2.810338616128701, n: 100000, r: 3, points: 1000, t: 18 s
Mean: 169.646471246786, SE: 0.00028037384756594185, STDEV: 2.8037384756594186, n: 100000000, r: 3, points: 1000, t: 16216 s
Mean: 6.281216000000008, SE: 0.0033092248856794277, STDEV: 0.10464687928457313, n: 1000, r: 1, points: 1000, t: 4 s
// CORRECT DATA
Mean: 4.166933333333334, SE: 0.02883997226073568, STDEV: 0.0912000000000002, n: 10, r: 1, points: 1000, t: 2 s
Mean: 113.07556799999952, SE: 0.059026299268851466, STDEV: 1.8665754754030213, n: 1000, r: 3, points: 1000, t: 1 s
Mean: 4.1866080000000006, SE: 0.002171858012138201, STDEV: 0.06868018072842338, n: 1000, r: 1, points: 1000, t: 1 s
Mean: 4.166933333333334, SE: 0.02883997226073568, STDEV: 0.0912000000000002, n: 10, r: 1, points: 1000, t: 2 s
Mean: 4.183893333333335, SE: 0.007268407864786412, STDEV: 0.07268407864786412, n: 100, r: 1, points: 1000, t: 0 s
Mean: 4.190629333333337, SE: 0.0021731415931779503, STDEV: 0.06872077112489353, n: 1000, r: 1, points: 1000, t: 0 s
Mean: 4.188702933333323, SE: 0.0006902351882797395, STDEV: 0.06902351882797396, n: 10000, r: 1, points: 1000, t: 1 s
Mean: 4.1888412799980825, SE: 0.000219687495602459, STDEV: 0.06947128595619952, n: 100000, r: 1, points: 1000, t: 17 s
Mean: 4.188635999998057, SE: 0.00021959384856794423, STDEV: 0.06944167216368081, n: 100000, r: 1, points: 1000, t: 17 s
Mean: 4.188824378671529, SE: 0.00006929609980871802, STDEV: 0.06929609980871802, n: 1000000, r: 1, points: 1000, t: 165 s
// n = 10
Mean: 4.205866666666667, SE: 0.019815325157844677, STDEV: 0.06266156007562469, n: 10, r: 1, points: 1000, t: 0 s
Mean: 4.2085333333333335, SE: 0.018802553018140964, STDEV: 0.05945889336339871, n: 10, r: 1, points: 1000, t: 0 s
Mean: 4.160000000000001, SE: 0.025755085797652535, STDEV: 0.08144473245363652, n: 10, r: 1, points: 1000, t: 0 s
Mean: 4.2223999999999995, SE: 0.0185681208287514, STDEV: 0.05871755368806773, n: 10, r: 1, points: 1000, t: 0 s
Mean: 4.2048, SE: 0.023853776779928695, STDEV: 0.07543226542181174, n: 10, r: 1, points: 1000, t: 0 s
// n = 100
Mean: 4.183893333333335, SE: 0.007268407864786412, STDEV: 0.07268407864786412, n: 100, r: 1, points: 1000, t: 0 s
Mean: 4.175840000000001, SE: 0.006676879643799025, STDEV: 0.06676879643799025, n: 100, r: 1, points: 1000, t: 0 s
Mean: 4.186026666666668, SE: 0.007370921365594528, STDEV: 0.07370921365594528, n: 100, r: 1, points: 1000, t: 0 s
